"Job Title","Rating","Job Location","Size","Type of ownership","Industry","Sector","Competitors","Hourly","Lower Salary","Upper Salary","Avg Salary(K)","Age","Python","excel","sql","sas","aws","tableau","job_title_sim","Degree"
"Data Scientist",3.8,"NM","501 - 1000","Company - Private","Aerospace & Defense","Aerospace & Defense","-1",0,53,91,72,48,1,1,0,1,0,1,"data scientist","M"
"Healthcare Data Scientist",3.4,"MD","10000+","Other Organization","Health Care Services & Hospitals","Health Care","-1",0,63,112,87.5,37,1,0,0,0,0,0,"data scientist","M"
"Data Scientist",4.8,"FL","501 - 1000","Company - Private","Security Services","Business Services","-1",0,80,90,85,11,1,1,1,1,0,0,"data scientist","M"
"Data Scientist",3.8,"WA","1001 - 5000","Government","Energy","Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,56,97,76.5,56,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",2.9,"NY","51 - 200","Company - Private","Advertising & Marketing","Business Services","Commerce Signals, Cardlytics, Yodlee",0,86,143,114.5,23,1,1,1,1,0,0,"data scientist","na"
"Data Scientist",3.4,"TX","201 - 500","Company - Public","Real Estate","Real Estate","Digital Realty, CoreSite, Equinix",0,71,119,95,21,1,1,1,0,1,0,"data scientist","na"
"Data Scientist",4.1,"MD","501 - 1000","Company - Private","Banks & Credit Unions","Finance","-1",0,54,93,73.5,13,0,1,0,0,0,0,"data scientist","na"
"Data Scientist",3.8,"CA","201 - 500","Company - Private","Consulting","Business Services","-1",0,86,142,114,16,1,1,1,0,1,0,"data scientist","M"
"Research Scientist",3.3,"NY","10000+","Hospital","Health Care Services & Hospitals","Health Care","-1",0,38,84,61,7,0,0,0,0,0,0,"other scientist","P"
"Data Scientist",4.6,"NY","51 - 200","Company - Private","Internet","Information Technology","Clicktripz, SmarterTravel",0,120,160,140,12,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",3.5,"CA","501 - 1000","Company - Private","Other Retail Stores","Retail","-1",0,126,201,163.5,10,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",4.1,"VA","5001 - 10000","Company - Public","Research & Development","Business Services","-1",0,64,106,85,53,0,0,1,0,0,0,"data scientist","na"
"Staff Data Scientist - Technology",3.2,"TX","10000+","Company - Public","Department, Clothing, & Shoe Stores","Retail","Target, Costco Wholesale, Amazon",0,106,172,139,59,0,0,1,0,0,0,"data scientist","M"
"Data Analyst",4.1,"WA","201 - 500","Company - Private","Advertising & Marketing","Business Services","-1",0,46,85,65.5,9,1,1,1,0,1,1,"analyst","na"
"Data Scientist",3.7,"MA","10000+","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Novartis, Baxter, Pfizer",0,83,144,113.5,240,1,0,1,0,0,0,"data scientist","M"
"Data Engineer I",3.6,"NJ","1001 - 5000","Subsidiary or Business Segment","Motion Picture Production & Distribution","Media","-1",0,102,190,146,26,0,1,0,0,0,0,"data engineer","na"
"Scientist I/II, Biology",3.9,"MA","51 - 200","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","bluebird bio, Agios Pharmaceuticals, Celgene",0,67,137,102,10,0,1,0,0,0,0,"other scientist","P"
"Customer Data Scientist",4.3,"CA","201 - 500","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,118,189,153.5,10,1,1,0,0,1,0,"data scientist","M"
"Data Scientist - Health Data Analytics",4.2,"CA","51 - 200","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,110,175,142.5,11,0,0,1,0,0,0,"data scientist","na"
"Data Scientist",4,"CO","501 - 1000","Nonprofit Organization","Insurance Carriers","Insurance","-1",0,64,111,87.5,106,1,1,1,0,0,0,"data scientist","M"
"Data Scientist",3.2,"WA","201 - 500","Company - Private","Internet","Information Technology","Angie's List, HomeAdvisor, Thumbtack",0,81,130,105.5,9,1,0,1,0,0,0,"data scientist","M"
"Senior Data Scientist / Machine Learning",3.9,"TX","201 - 500","Company - Private","Insurance Agencies & Brokerages","Insurance","-1",0,73,119,96,8,0,1,0,0,0,0,"data scientist","P"
"Data Scientist - Quantitative",3.8,"IL","501 - 1000","Company - Private","Logistics & Supply Chain","Transportation & Logistics","-1",0,86,139,112.5,26,1,1,1,0,1,0,"data scientist","M"
"Data Scientist",4.3,"KY","51 - 200","Nonprofit Organization","Logistics & Supply Chain","Transportation & Logistics","-1",0,63,105,84,86,1,1,1,0,0,1,"data scientist","M"
"Data Scientist",4,"VA","501 - 1000","Company - Private","Enterprise Software & Network Solutions","Information Technology","Leidos, CACI International, Booz Allen Hamilton",0,109,177,143,9,1,0,0,0,1,0,"data scientist","na"
"Digital Health Data Scientist",4,"MA","10000+","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1",0,63,110,86.5,172,1,1,0,0,1,0,"data scientist","na"
"Data Scientist",3.5,"OR","1001 - 5000","Company - Private","Banks & Credit Unions","Finance","-1",0,75,124,99.5,69,1,1,1,0,1,1,"data scientist","na"
"Associate Data Analyst",3.7,"MA","5001 - 10000","Company - Public","Insurance Carriers","Insurance","-1",0,34,61,47.5,169,0,1,0,0,0,0,"analyst","na"
"Clinical Data Scientist",4,"CT","10000+","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1",0,63,105,84,172,0,1,0,0,1,0,"data scientist","M"
"Data Scientist",4.8,"FL","501 - 1000","Company - Private","Security Services","Business Services","-1",0,80,90,85,11,1,1,1,1,0,0,"data scientist","M"
"Data Scientist",3.8,"WA","1001 - 5000","Government","Energy","Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,56,97,76.5,56,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",3.6,"MI","1001 - 5000","Company - Private","Real Estate","Real Estate","-1",0,72,120,96,24,1,0,1,1,0,0,"data scientist","M"
"Data Scientist / Machine Learning Expert",3.8,"MA","10000+","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1",0,86,143,114.5,25,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",3.8,"CA","5001 - 10000","Company - Public","Telecommunications Services","Telecommunications","-1",0,93,149,121,25,1,1,1,0,0,0,"data scientist","M"
"Data Scientist",4.7,"MA","201 - 500","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Thermo Fisher Scientific, Enzymatics, Illumina",0,85,140,112.5,47,1,1,0,0,0,0,"data scientist","na"
"Web Data Analyst",4.2,"CA","201 - 500","Company - Private","IT Services","Information Technology","-1",0,77,135,106,13,1,1,1,0,0,1,"analyst","na"
"Data Scientist",3.5,"CA","1001 - 5000","Company - Private","Computer Hardware & Software","Information Technology","Pitney Bowes",0,82,132,107,52,1,0,0,0,1,1,"data scientist","M"
"Data Scientist",4.7,"MA","201 - 500","Company - Private","Aerospace & Defense","Aerospace & Defense","-1",0,83,137,110,11,1,1,1,0,0,0,"data scientist","P"
